loan_id,amount,interest_rate,term_months,zone,origination_date,price_appreciation_rate,formalization_status,rbi_rate_at_origination
LN100060,2007293,7.87,240,Navi Mumbai,2020-08-22,0.1052,Formal,6.93
LN100061,4366612,9.52,180,Mumbai Suburbs,2015-04-11,0.0358,Formal,5.69
LN100062,3704238,9.75,240,South Mumbai,2022-11-11,0.0227,Formal,5.37
LN100063,3630708,7.56,300,South Mumbai,2018-08-08,0.0558,Informal,6.39
LN100064,4494679,9.52,240,Mumbai Suburbs,2018-05-27,0.105,Formal,4.05
LN100065,19544856,9.24,240,Mumbai Suburbs,2017-05-20,0.0386,Formal,6.22
LN100066,16606139,9.76,180,Mumbai Suburbs,2016-10-24,0.042,Formal,5.42
LN100067,12002348,7.36,300,Mumbai Suburbs,2021-09-17,0.044,Formal,5.59
LN100068,2285160,8.52,240,Navi Mumbai,2020-08-11,0.0945,Informal,5.04
LN100069,6173036,7.46,300,Navi Mumbai,2020-06-25,0.0466,Formal,4.45
LN100070,19202688,9.38,300,Mumbai Suburbs,2018-06-10,0.0734,Formal,5.4
LN100071,1048984,6.52,240,Mumbai Suburbs,2019-02-25,0.0636,Informal,5.08
LN100072,11788678,8.48,180,Mumbai Suburbs,2016-01-31,0.0567,Informal,7.36
LN100073,7556168,7.69,300,Mumbai Suburbs,2018-01-20,0.045,Informal,7.3
LN100074,19281600,7.63,360,Mumbai Suburbs,2022-03-31,0.1191,Formal,6.25
LN100075,15616555,8.76,240,Mumbai Suburbs,2021-07-12,0.1438,Informal,7.16
LN100076,13719242,9.48,300,South Mumbai,2021-09-29,0.0335,Formal,6.63
LN100077,16160818,8.63,300,Mumbai Suburbs,2018-11-11,0.0279,Formal,5.21
LN100078,17030288,9.49,300,Mumbai Suburbs,2022-07-24,0.0612,Informal,6.11
LN100079,2737095,7.43,240,Mumbai Suburbs,2017-05-10,0,Formal,4.77
LN100080,11499746,8.32,360,South Mumbai,2022-03-01,0.0614,Formal,6.41
LN100081,5780450,8.08,300,Mumbai Suburbs,2019-01-18,0.1202,Informal,4.16
LN100082,19887034,6.54,300,South Mumbai,2020-10-22,0.042,Formal,6.91
LN100083,17029444,8.45,180,Navi Mumbai,2017-08-16,0.0924,Formal,6.04
LN100084,12336697,8.82,240,Mumbai Suburbs,2021-05-05,0.1041,Formal,4.2
LN100085,4853339,8.57,240,South Mumbai,2021-07-13,0.0342,Formal,7.05
LN100086,17013446,9.08,300,South Mumbai,2017-03-05,0.0653,Formal,7.07
LN100087,18773323,8.5,180,Mumbai Suburbs,2022-04-24,0.0706,Informal,6.98
LN100088,12910049,6.73,300,South Mumbai,2018-07-13,0.0819,Informal,6.71
LN100089,8130144,6.91,300,Navi Mumbai,2015-11-20,0.0841,Formal,6.37
LN100090,5545583,8.59,240,Mumbai Suburbs,2020-06-27,0.0937,Formal,5.39
LN100091,16593974,7.46,180,South Mumbai,2020-09-10,0.0365,Formal,4.48
LN100092,8988004,6.78,300,Mumbai Suburbs,2018-07-18,0.0652,Formal,5.01
LN100093,14072482,8,240,South Mumbai,2020-06-30,0.1045,Formal,5.21
LN100094,6515989,8.44,300,Navi Mumbai,2016-05-07,0.1077,Formal,5.25
LN100095,19898906,7.65,300,Mumbai Suburbs,2016-03-22,0.0668,Informal,5.98
LN100096,15881728,9.02,180,Navi Mumbai,2015-03-28,0.0441,Informal,4.73
LN100097,1491234,8.75,180,Mumbai Suburbs,2015-03-17,0.0911,Formal,4.66
LN100098,11336868,7.66,180,Navi Mumbai,2016-08-19,0.0761,Formal,6.51
LN100099,13722094,9.14,300,South Mumbai,2016-11-03,0.0754,Formal,4.03
LN100100,10909709,8.77,360,Mumbai Suburbs,2018-08-05,0.0833,Formal,4.52
LN100101,13766976,8.73,180,Mumbai Suburbs,2020-12-25,0.0315,Informal,5.52
LN100102,13796932,8.44,360,Mumbai Suburbs,2017-02-21,0.0854,Formal,4.52
LN100103,7914550,6.54,360,South Mumbai,2021-04-11,0.0646,Formal,7.36
LN100104,7906726,8.94,360,Mumbai Suburbs,2017-11-21,0.0942,Formal,6.35
LN100105,6888794,7.82,240,South Mumbai,2016-04-06,0.0606,Informal,5.51
LN100106,7510425,9.8,300,Mumbai Suburbs,2020-03-07,0.0775,Formal,4.39
LN100107,9511017,9.36,180,Mumbai Suburbs,2015-05-12,0.0737,Formal,5.35
LN100108,8887739,8.56,300,Mumbai Suburbs,2018-07-28,0.0436,Informal,6.28
LN100109,1769598,7.38,300,South Mumbai,2015-12-09,0.0329,Formal,7.39
LN100110,16452902,7.21,240,Mumbai Suburbs,2015-01-27,0.0842,Informal,5.65
LN100111,8971379,7.69,240,South Mumbai,2020-08-04,0.0343,Formal,6.42
LN100112,4331068,8.17,240,Navi Mumbai,2015-01-27,0.0499,Formal,4.68
LN100113,4256415,7.54,300,South Mumbai,2022-06-16,0.049,Informal,6.18
LN100114,1874371,8.3,360,Navi Mumbai,2016-04-24,0.071,Formal,4.84
LN100115,6654237,7.08,300,Mumbai Suburbs,2018-09-03,0.0803,Informal,4.69
LN100116,13261606,9.92,240,Mumbai Suburbs,2018-07-11,0.0133,Informal,5.78
LN100117,18750764,6.88,300,South Mumbai,2021-01-03,0.0382,Formal,4.74
LN100118,4344014,9.76,240,Mumbai Suburbs,2021-09-02,0.0368,Formal,6.52
LN100119,10602083,9.7,240,Mumbai Suburbs,2020-08-07,0.0532,Formal,7.28
LN100120,3959034,8.34,180,Mumbai Suburbs,2020-04-28,0.0002,Formal,5.38
LN100121,1043585,9.04,360,South Mumbai,2018-11-26,0.094,Formal,5.13
LN100122,15744108,8.03,240,Navi Mumbai,2017-03-27,0.0618,Formal,4.62
LN100123,3539448,8.71,180,Navi Mumbai,2017-12-10,0.056,Formal,5.37
LN100124,17886772,7.69,360,Mumbai Suburbs,2016-03-16,0.0826,Informal,5.96
LN100125,19352773,7.55,240,Mumbai Suburbs,2016-11-26,0.0755,Informal,5.31
LN100126,15643995,8.52,360,Mumbai Suburbs,2017-03-27,0.0752,Formal,6.18
LN100127,11511699,8.24,360,Mumbai Suburbs,2017-10-03,0.0595,Formal,6.32
LN100128,9306461,8.53,300,South Mumbai,2017-01-04,0.0631,Formal,4.34
LN100129,3009021,7.5,180,Mumbai Suburbs,2017-05-07,0.0853,Informal,6.44
LN100130,2201482,7.78,360,Navi Mumbai,2018-06-11,0.076,Formal,7.15
LN100131,18319551,6.79,300,South Mumbai,2016-12-13,0.1118,Informal,4.09
LN100132,12822585,6.68,360,Mumbai Suburbs,2016-11-26,0.0642,Informal,5.93
LN100133,3484413,7.39,300,Navi Mumbai,2021-08-14,0.0795,Informal,6.11
LN100134,3907360,6.76,240,South Mumbai,2016-04-29,0.0563,Formal,6.48
LN100135,6895544,6.86,240,South Mumbai,2016-12-15,0.0697,Formal,5.35
LN100136,3235000,9.35,300,Mumbai Suburbs,2015-05-20,0.0713,Informal,6.87
LN100137,5322252,6.64,240,South Mumbai,2015-05-10,0.0467,Formal,5.89
LN100138,6822184,8.81,240,South Mumbai,2022-06-14,0.0406,Formal,5.43
LN100139,1402690,7.45,240,Mumbai Suburbs,2016-08-26,0.0792,Formal,6.52
LN100140,3548421,9.55,360,Mumbai Suburbs,2017-08-02,0.0736,Formal,7.25
LN100141,13604871,8.2,300,Navi Mumbai,2018-08-01,0.104,Informal,6.84
LN100142,13195226,7.57,180,Mumbai Suburbs,2021-11-06,0.0601,Formal,7.26
LN100143,15381704,8.31,180,Mumbai Suburbs,2015-11-14,0.0302,Informal,4.93
LN100144,2954109,7.84,300,Mumbai Suburbs,2020-03-04,0.0603,Formal,4.41
LN100145,15421668,8.48,360,Navi Mumbai,2017-05-22,0.0831,Formal,5.87
LN100146,12501362,6.9,240,South Mumbai,2019-02-22,0,Informal,4.16
LN100147,17266473,9.99,240,South Mumbai,2021-10-19,0.0598,Informal,6.36
LN100148,8205547,7.99,360,Navi Mumbai,2016-04-18,0.08,Informal,4.84
LN100149,9323735,7.72,180,Navi Mumbai,2017-01-10,0.067,Informal,5.59
LN100150,19161466,8.99,300,South Mumbai,2016-06-15,0.0492,Formal,6.29
LN100151,13414325,7.77,300,South Mumbai,2015-11-19,0.0239,Formal,5.69
LN100152,1061087,9.42,360,Mumbai Suburbs,2018-10-07,0.0596,Formal,4.83
LN100153,14596255,8.09,240,South Mumbai,2022-12-18,0.0233,Formal,7.08
LN100154,15665175,9.02,240,Mumbai Suburbs,2022-07-01,0.0802,Formal,6.68
LN100155,19273392,6.88,240,South Mumbai,2019-09-03,0.0618,Formal,6.1
LN100156,11274621,9.46,300,South Mumbai,2020-02-16,0.1048,Formal,6.44
LN100157,14022704,9.08,180,Mumbai Suburbs,2020-10-03,0.0014,Formal,5.45
LN100158,17816569,7.24,300,Navi Mumbai,2020-07-22,0.0498,Formal,5.32
LN100159,7484531,7.01,360,Mumbai Suburbs,2021-02-26,0.082,Formal,4.56
LN100160,8654909,7.61,300,Mumbai Suburbs,2018-12-23,0.0943,Informal,6.81
LN100161,5259622,9.92,360,Navi Mumbai,2021-12-26,0.0832,Formal,5.33
LN100162,6725570,7.4,300,Mumbai Suburbs,2016-01-24,0.0314,Formal,6.42
LN100163,18194096,8.1,180,Mumbai Suburbs,2018-11-08,0.0456,Informal,5.05
LN100164,16421040,6.61,360,Mumbai Suburbs,2016-01-22,0,Formal,6.79
LN100165,5965050,7.89,240,South Mumbai,2022-10-26,0.0614,Informal,4.37
LN100166,1813168,8.5,240,Mumbai Suburbs,2022-05-30,0.0949,Formal,6.19
LN100167,1225281,9.84,300,Mumbai Suburbs,2015-09-22,0.0602,Formal,6.83
LN100168,12506305,8.31,300,South Mumbai,2016-04-10,0.0773,Formal,6.31
LN100169,8734102,9.37,180,South Mumbai,2018-12-23,0.0765,Informal,6.44
LN100170,6674719,8.41,180,Mumbai Suburbs,2021-04-12,0.0505,Formal,5.84
LN100171,9658144,6.64,240,Mumbai Suburbs,2015-08-23,0,Formal,5.96
LN100172,7609280,7.6,300,South Mumbai,2021-05-06,0.1002,Informal,4.23
LN100173,5372093,8.51,360,South Mumbai,2017-07-28,0.073,Informal,4.88
LN100174,19338945,9.83,180,Navi Mumbai,2019-04-20,0.0225,Informal,6.53
LN100175,11611417,9.51,360,Mumbai Suburbs,2018-06-27,0.0711,Informal,7.31
LN100176,6478047,7.3,360,South Mumbai,2018-08-24,0.066,Informal,5.9
LN100177,2119043,7.27,180,Mumbai Suburbs,2015-10-06,0.0993,Formal,6.54
LN100178,12718070,7.2,300,South Mumbai,2020-07-20,0.0742,Formal,6.39
LN100179,17351434,9.73,360,Mumbai Suburbs,2016-03-07,0.0743,Informal,7.5
LN100180,11595511,9.48,300,Mumbai Suburbs,2022-08-09,0.066,Formal,6.78
LN100181,15012538,9.21,360,Mumbai Suburbs,2020-02-17,0.0369,Formal,6.2
LN100182,8103230,7.87,300,Mumbai Suburbs,2022-02-15,0.0802,Formal,4.4
LN100183,3558231,8.27,300,South Mumbai,2016-07-18,0.0592,Formal,5.27
LN100184,7659908,8.13,300,Mumbai Suburbs,2018-01-22,0.0314,Formal,4.88
LN100185,4080389,7.39,300,South Mumbai,2017-08-14,0.0402,Informal,6.99
LN100186,2661909,8.27,180,Mumbai Suburbs,2020-05-14,0.0259,Informal,5.56
LN100187,17887294,6.61,360,Navi Mumbai,2022-03-12,0.0918,Formal,5.87
LN100188,19692847,6.96,300,Mumbai Suburbs,2017-03-01,0.1194,Informal,7.38
LN100189,7314127,9.6,240,Navi Mumbai,2017-06-13,0.0947,Formal,6.93
LN100190,10792712,9.13,360,South Mumbai,2020-02-11,0.0713,Formal,6.76
LN100191,3008187,7.98,360,Mumbai Suburbs,2020-11-12,0.058,Formal,4.5
LN100192,2659066,8.31,300,South Mumbai,2020-11-05,0.0513,Formal,4.08
LN100193,3148815,7.79,360,Mumbai Suburbs,2021-01-08,0.0304,Informal,4.44
LN100194,8355740,9.09,240,South Mumbai,2017-01-29,0.1184,Formal,6.59
LN100195,7404003,9.24,240,South Mumbai,2022-08-19,0.029,Formal,5.44
LN100196,5135314,9.17,240,South Mumbai,2017-08-31,0.0345,Formal,4.41
LN100197,1910681,9.03,360,Mumbai Suburbs,2015-08-04,0.0541,Informal,6.59
LN100198,19384834,7.22,360,South Mumbai,2016-07-22,0.0566,Informal,4.68
LN100199,11421958,7.68,300,Navi Mumbai,2021-04-02,0.0781,Formal,6.06
LN100200,11700595,8.14,360,South Mumbai,2016-10-13,0.0398,Informal,6.6
LN100201,13984808,7.66,360,South Mumbai,2015-07-02,0.0003,Formal,6.13
LN100202,15764960,9.14,300,Mumbai Suburbs,2022-11-30,0.0531,Formal,7.48
LN100203,17848511,7.65,240,Navi Mumbai,2017-09-24,0.0551,Formal,5.52
LN100204,10132582,6.98,300,South Mumbai,2016-07-06,0.0526,Formal,5.09
LN100205,8613287,7.9,180,South Mumbai,2019-06-21,0.0522,Informal,4.7
LN100206,17385802,9.93,360,Mumbai Suburbs,2021-04-29,0.0495,Informal,5.76
LN100207,4612600,7.29,360,Mumbai Suburbs,2016-09-05,0.0203,Formal,6.98
LN100208,18603032,8.64,180,Mumbai Suburbs,2015-05-31,0.1039,Formal,7.31
LN100209,13105878,8.02,180,South Mumbai,2019-10-03,0.1022,Formal,7.4
LN100210,11245534,6.75,180,Mumbai Suburbs,2016-04-21,0.1019,Informal,5.86
LN100211,11047453,8.21,300,South Mumbai,2022-08-29,0.0244,Formal,6.12
LN100212,3026793,8.96,240,Mumbai Suburbs,2021-09-12,0.0721,Formal,6.04
LN100213,1554594,8.3,300,Mumbai Suburbs,2019-05-17,0.0473,Informal,5.63
LN100214,9536326,9.55,180,Mumbai Suburbs,2022-06-03,0.0457,Formal,4.53
LN100215,17037627,7.51,300,Mumbai Suburbs,2022-02-12,0.0321,Informal,4.23
LN100216,14228175,6.8,360,Navi Mumbai,2016-07-02,0.137,Formal,5.53
LN100217,3204664,9.78,300,South Mumbai,2017-07-19,0.0525,Formal,4.65
LN100218,5341747,7.82,180,South Mumbai,2016-08-10,0.0323,Informal,7.1
LN100219,13956528,8.52,360,Mumbai Suburbs,2016-07-18,0.0641,Formal,6.67
LN100220,18464192,9.27,240,Mumbai Suburbs,2022-09-09,0.0829,Formal,6.16
LN100221,16487428,7.64,300,South Mumbai,2019-04-05,0.0558,Informal,4.17
LN100222,9506404,9.01,300,Mumbai Suburbs,2016-04-16,0.0673,Formal,6.18
LN100223,2241082,6.97,180,Mumbai Suburbs,2019-12-01,0.0901,Formal,6.17
LN100224,6184502,7.52,240,Mumbai Suburbs,2019-12-06,0.0314,Formal,5.54
LN100225,14281288,7.01,360,Navi Mumbai,2017-04-05,0.0653,Formal,6.3
LN100226,13503247,9.34,180,Mumbai Suburbs,2021-04-07,0.0408,Formal,7
LN100227,19356375,7.28,180,South Mumbai,2016-03-06,0.0368,Formal,6.65
LN100228,7041495,9.01,300,Mumbai Suburbs,2016-09-09,0.1126,Formal,5.66
LN100229,18569187,9.8,240,Mumbai Suburbs,2018-06-04,0.0573,Formal,4.92
LN100230,1501157,8.35,180,South Mumbai,2018-08-27,0.0281,Formal,5.67
LN100231,12002109,8.39,300,Mumbai Suburbs,2018-12-17,0.0567,Formal,7.31
LN100232,6946594,8.11,360,Navi Mumbai,2018-06-29,0.0237,Formal,6.87
LN100233,12310552,7.64,180,South Mumbai,2020-10-03,0.0535,Formal,4.09
LN100234,12471761,8.16,360,South Mumbai,2015-12-08,0.0396,Formal,6.74
LN100235,3904941,8.61,360,South Mumbai,2021-03-16,0.0753,Formal,4.6
LN100236,8983441,9.95,300,Mumbai Suburbs,2017-08-10,0.1181,Formal,6
LN100237,6320385,9.78,240,Navi Mumbai,2017-01-13,0.0548,Formal,6.82
LN100238,19877237,9.52,360,Mumbai Suburbs,2021-08-02,0.0408,Formal,5.96
LN100239,14364386,9.61,180,Mumbai Suburbs,2020-02-16,0.0627,Informal,5.41
LN100240,16134415,8.14,240,Mumbai Suburbs,2018-10-26,0.1047,Formal,5.12
LN100241,10749436,8.8,240,Mumbai Suburbs,2016-10-22,0.0755,Informal,5.07
LN100242,18395683,9.63,300,Mumbai Suburbs,2016-01-01,0.0558,Formal,6.93
LN100243,6333152,7.88,180,South Mumbai,2020-04-04,0,Informal,6.89
LN100244,11524227,9.87,180,Mumbai Suburbs,2015-08-01,0.0584,Formal,6.88
LN100245,13344096,7.96,300,Mumbai Suburbs,2021-07-14,0.0833,Formal,4.99
LN100246,8328141,8.6,300,South Mumbai,2021-02-26,0.0887,Informal,6.8
LN100247,19485139,8.98,240,Mumbai Suburbs,2017-01-24,0.0993,Formal,4.13
LN100248,6134207,9.83,360,Navi Mumbai,2020-03-08,0.0398,Formal,4.72
LN100249,9516999,7.36,360,Mumbai Suburbs,2020-12-21,0.0479,Formal,5.8
LN100250,10405634,9.11,360,Navi Mumbai,2019-10-06,0.0564,Informal,5.42
LN100251,6853584,8.32,360,South Mumbai,2018-07-29,0.0813,Informal,4.39
LN100252,15488191,7.44,180,Mumbai Suburbs,2020-05-16,0.0521,Formal,4.15
LN100253,15936751,9.22,180,South Mumbai,2021-02-22,0.0757,Formal,6.14
LN100254,5301754,8.43,300,South Mumbai,2018-12-08,0.0485,Formal,5.1
LN100255,3269042,8.81,300,Mumbai Suburbs,2021-09-30,0.0388,Formal,4.06
LN100256,16118805,7.63,360,Mumbai Suburbs,2020-02-06,0.0933,Formal,5.51
LN100257,2983509,8.18,300,Mumbai Suburbs,2015-09-26,0.0694,Formal,5.07
LN100258,8740141,8.66,180,Mumbai Suburbs,2022-08-23,0.0824,Formal,6.02
LN100259,17893597,7.92,360,Mumbai Suburbs,2017-03-18,0.0538,Formal,7.25
LN100260,19298917,7.19,360,Navi Mumbai,2020-05-03,0.0841,Formal,5.08
LN100261,11008805,9.87,180,Mumbai Suburbs,2021-12-23,0.0281,Formal,7.49
LN100262,11620268,8.29,240,South Mumbai,2018-03-11,0.0329,Informal,4.3
LN100263,11166834,9.07,360,South Mumbai,2017-10-29,0.0883,Formal,4.31
LN100264,7105525,7.94,300,Mumbai Suburbs,2020-11-06,0.0579,Formal,6.5
LN100265,12326237,7.74,240,Mumbai Suburbs,2015-03-07,0.0526,Formal,6.62
LN100266,2418175,7.93,180,South Mumbai,2016-02-28,0.0324,Informal,5.48
LN100267,16559675,7.93,240,South Mumbai,2016-12-31,0.0841,Formal,5
LN100268,16900476,8.4,240,South Mumbai,2016-08-13,0.116,Formal,6.78
LN100269,8265795,8.4,360,Mumbai Suburbs,2016-05-14,0.0782,Informal,7.35
LN100270,4772962,8.24,240,South Mumbai,2016-04-21,0.0465,Formal,7.46
LN100271,13580031,6.97,300,South Mumbai,2020-02-20,0.1016,Formal,6.22
LN100272,11149035,8.24,360,Mumbai Suburbs,2016-05-08,0.0708,Formal,6.59
LN100273,13707035,7.09,180,Mumbai Suburbs,2017-03-07,0.047,Formal,6.88
LN100274,6130397,6.94,300,Mumbai Suburbs,2021-12-07,0.0983,Formal,6.8
LN100275,4451356,9.76,360,Mumbai Suburbs,2016-12-10,0.0546,Formal,7.48
LN100276,4444084,8.62,240,South Mumbai,2017-08-30,0.0167,Formal,6.84
LN100277,3927109,8.81,300,Navi Mumbai,2016-02-01,0.0505,Informal,6.32
LN100278,13761186,7.91,360,Mumbai Suburbs,2019-03-16,0.076,Informal,5.32
LN100279,12275612,9.68,360,Navi Mumbai,2022-04-05,0.0385,Formal,6.09
LN100280,9503902,8.73,180,Navi Mumbai,2021-09-22,0.0038,Formal,7.08
LN100281,12521122,9.19,360,Mumbai Suburbs,2020-07-04,0.1041,Informal,5.07
LN100282,17188091,7.79,180,South Mumbai,2018-02-09,0.1498,Formal,4.11
LN100283,7214624,9.86,240,Mumbai Suburbs,2017-12-07,0.0457,Informal,5.15
LN100284,5335868,9.37,360,South Mumbai,2016-05-13,0.0411,Formal,7.36
LN100285,10814996,9.49,360,Navi Mumbai,2019-12-04,0.0196,Informal,6.78
LN100286,15650271,7.1,240,Mumbai Suburbs,2021-12-09,0.0354,Informal,4.65
LN100287,13240032,7.45,360,Navi Mumbai,2020-05-12,0.0142,Formal,4.04
LN100288,19992383,7.5,360,Mumbai Suburbs,2021-12-23,0.0209,Formal,6.34
LN100289,4886402,7.45,300,Mumbai Suburbs,2022-11-11,0.0601,Formal,6.03
LN100290,10078552,9.49,180,Mumbai Suburbs,2020-07-15,0.0126,Formal,4.29
LN100291,18465321,6.61,360,Mumbai Suburbs,2018-04-02,0.0159,Informal,7.38
LN100292,2989173,6.77,360,Mumbai Suburbs,2018-02-09,0.0662,Formal,6.16
LN100293,4080761,7.46,180,Mumbai Suburbs,2021-09-07,0.0415,Informal,6.28
LN100294,2414466,7.2,300,Navi Mumbai,2022-11-06,0.0707,Informal,6.99
LN100295,1445101,7.31,180,Mumbai Suburbs,2015-07-04,0.0497,Formal,5.18
LN100296,15716695,9.29,360,Navi Mumbai,2016-07-31,0.0544,Formal,5.95
LN100297,18882750,8.47,240,Navi Mumbai,2019-01-14,0.0834,Formal,6.02
LN100298,12616410,6.52,240,Mumbai Suburbs,2016-05-05,0.0435,Formal,7.39
LN100299,11192257,8,300,Mumbai Suburbs,2016-08-15,0.0813,Informal,4.46
LN100300,10613273,7.93,300,Mumbai Suburbs,2021-03-05,0.0474,Formal,6.66
LN100301,8315360,6.9,360,Mumbai Suburbs,2019-06-18,0.0354,Formal,6.01
LN100302,17358792,8.87,300,South Mumbai,2018-07-04,0.0278,Informal,6.96
LN100303,1498863,8.96,360,Mumbai Suburbs,2020-11-23,0.0103,Formal,6.91
LN100304,10185687,9.02,240,Navi Mumbai,2015-09-03,0.0228,Formal,4.04
LN100305,15900027,9.05,300,South Mumbai,2018-04-04,0.0068,Informal,4.9
LN100306,16160825,6.5,360,Mumbai Suburbs,2018-12-08,0.0302,Formal,4.63
LN100307,7512440,9.84,180,Navi Mumbai,2021-07-16,0.0846,Informal,5.62
LN100308,13431395,9.35,300,Mumbai Suburbs,2020-09-28,0.0598,Informal,7.17
LN100309,7099628,9.66,360,Mumbai Suburbs,2015-03-14,0.0484,Formal,4.02
LN100310,7555968,6.55,360,Mumbai Suburbs,2018-10-10,0.0393,Formal,5.71
LN100311,3699015,9.77,180,Mumbai Suburbs,2022-03-05,0.0576,Formal,7.1
LN100312,17722573,9.33,240,South Mumbai,2019-10-11,0.0609,Formal,7.24
LN100313,17340850,9.43,180,Navi Mumbai,2020-03-22,0.0265,Formal,6.3
